Cage	COHORT	BirdID	Sex	Treatment	Time	Plasma_diff	PhotoC_diff	Hue_diff	Chroma_diff	Bright_diff	Size_diff	meanR_diff	meanG_diff	meanB_diff
C15	CO1	b391	M	CTRL	D28	-0.29	-0.02	6.20	0.01	0.01	-1.51	0.01	0.01	0.00
C16	CO1	b392	F	BOTH	D28	0.66	-0.03	5.66	-0.02	0.01	-20.04	0.01	0.02	0.01
C14	CO1	b393	M	DIET	D28	0.00	-0.01	2.88	0.00	0.00	-19.80	0.00	0.00	0.00
C8	CO1	b394	M	BOTH	D28	2.82	-0.02	2.00	-0.04	-0.01	-12.94	-0.02	-0.01	0.01
C1	CO1	b395	F	CAR	D28	1.34	-0.04	5.51	-0.07	-0.02	-28.08	-0.05	-0.02	0.01
C19	CO1	b396	M	CTRL	D28	-0.16	-0.01	2.68	0.02	0.00	5.11	0.01	0.01	-0.01
C20	CO1	b397	F	BOTH	D28	1.42	-0.02	3.54	0.00	0.01	-2.46	0.01	0.01	0.00
C6	CO1	b398	F	DIET	D28	0.08	0.00	-0.69	0.00	-0.02	-4.04	-0.02	-0.02	-0.01
C7	CO1	b399	M	CTRL	D28	-0.18	-0.03	3.41	-0.02	0.00	-2.87	-0.02	0.00	0.00
C9	CO1	b401	F	CAR	D28	1.27	-0.01	2.49	0.01	0.03	19.94	0.04	0.04	0.01
C4	CO1	b402	F	BOTH	D28	3.25	-0.02	3.51	-0.01	0.03	9.29	0.03	0.03	0.01
C3	CO1	b403	M	CTRL	D28	0.55	0.00	2.61	0.01	0.02	-8.87	0.02	0.02	0.00
C2	CO1	b404	F	DIET	D28	-0.08	0.00	-0.53	-0.01	-0.02	12.72	-0.03	-0.02	-0.01
C5	CO1	b405	F	CAR	D28	0.91	-0.04	6.13	-0.02	0.01	-11.67	-0.01	0.02	0.01
C12	CO1	b406	M	BOTH	D28	3.29	-0.02	2.43	0.00	0.00	-2.94	0.00	0.01	0.00
C17	CO1	b407	F	CAR	D28	0.92	-0.01	4.42	0.02	0.02	-18.63	0.03	0.03	0.00
C10	CO1	b408	M	DIET	D28	-0.14	-0.02	3.23	-0.01	0.00	19.35	0.00	0.01	0.00
C18	CO1	b409	F	DIET	D28	-0.10	0.01	1.84	0.04	0.00	-8.66	0.01	0.01	-0.02
C13	CO1	b410	M	CAR	D28	2.09	-0.03	2.81	-0.03	0.00	12.25	-0.01	0.00	0.01
C11	CO2	b412	M	CTRL	D28	-0.31	-0.02	1.77	-0.02	0.02	-10.72	0.01	0.01	0.01
C1	CO2	b413	M	CAR	D28	1.65	0.06	-7.96	0.02	-0.04	15.47	-0.02	-0.05	0.00
C4	CO2	b414	M	BOTH	D28	4.90	0.14	-13.22	0.12	-0.03	-12.02	0.02	-0.04	-0.03
C8	CO2	b415	M	BOTH	D28	1.56	0.06	-8.29	0.02	-0.04	-2.92	-0.02	-0.05	-0.01
C10	CO2	b416	M	DIET	D28	-0.24	-0.01	-0.78	-0.03	-0.01	-9.62	-0.02	-0.02	0.00
C13	CO2	b417	M	CAR	D28	1.31	0.01	-0.12	0.02	0.01	0.05	0.01	0.00	-0.01
C6	CO2	b418	F	DIET	D28	-0.52	0.02	-6.51	-0.03	-0.03	-5.45	-0.04	-0.04	0.00
C15	CO2	b419	M	CTRL	D28	-0.17	-0.04	1.62	-0.10	0.02	3.73	-0.02	0.00	0.05
C12	CO2	b420	M	BOTH	D28	1.99	0.13	-11.45	0.14	-0.03	-2.18	0.02	-0.03	-0.04
C5	CO2	b421	F	CAR	D28	1.36	0.06	-7.42	0.06	-0.04	9.02	-0.01	-0.04	-0.03
C14	CO2	b422	M	DIET	D28	-0.12	-0.01	-1.73	-0.06	0.00	-0.61	-0.01	-0.01	0.03
C18	CO2	b423	M	DIET	D28	0.12	-0.02	-0.47	-0.08	0.02	-12.19	0.00	0.01	0.04
C20	CO2	b424	F	BOTH	D28	0.71	0.06	-9.28	0.06	-0.03	6.69	0.00	-0.03	-0.03
C19	CO2	b425	F	CTRL	D28	-0.66	-0.07	5.87	-0.09	0.06	-2.12	0.02	0.05	0.05
C7	CO2	b426	M	CTRL	D28	-0.26	0.01	-3.24	-0.04	0.00	-5.39	-0.01	-0.01	0.02
C16	CO2	b427	F	BOTH	D28	-0.91	0.00	-0.59	0.00	0.02	8.34	0.02	0.02	0.01
C9	CO2	b428	M	CAR	D28	0.88	0.03	-7.08	-0.01	-0.06	2.34	-0.06	-0.07	-0.01
C17	CO2	b429	M	CAR	D28	1.31	0.03	-4.83	0.00	-0.02	2.96	-0.02	-0.03	0.00
C2	CO2	b430	M	DIET	D28	-0.17	-0.03	2.82	-0.03	0.04	-6.92	0.04	0.04	0.02
C3	CO2	b431	F	CTRL	D28	-0.20	-0.01	-1.27	-0.05	-0.02	6.10	-0.04	-0.03	0.01
